method,block_size,result,fp64_reference,absolute_error,elapsed_ms,matches_first_setting
block_dependent,16,-466462.03125,-466462.1117000384,0.08045003842562437,15.230396900005871,True
fixed_tree,16,-466462.09375,-466462.1117000384,0.01795003842562437,0.05048480015830137,True
block_dependent,32,-466462.21875,-466462.1117000384,0.10704996157437563,13.971811000010348,False
fixed_tree,32,-466462.09375,-466462.1117000384,0.01795003842562437,0.06999170072958805,True
block_dependent,64,-466462.125,-466462.1117000384,0.01329996157437563,14.156765899679158,False
fixed_tree,64,-466462.09375,-466462.1117000384,0.01795003842562437,0.044430499474401586,True
block_dependent,128,-466462.21875,-466462.1117000384,0.10704996157437563,11.617492400546325,False
fixed_tree,128,-466462.09375,-466462.1117000384,0.01795003842562437,0.044624799556913786,True
block_dependent,256,-466462.28125,-466462.1117000384,0.16954996157437563,11.470601700420957,False
fixed_tree,256,-466462.09375,-466462.1117000384,0.01795003842562437,0.042495899833738804,True
