step,train_loss,learning_rate,tokens_per_second,elapsed_seconds,tokens_seen,peak_memory_mb,validation_loss,perplexity
1,9.109726548194885,2.9999999999999997e-06,22286.862057150414,1.4702832510010921,32768,2032.1640625,,
100,4.631398677825928,0.0003,35597.237115976764,0.9205208790008328,3276800,2303.2578125,,
200,3.2871994078159332,0.0003,35794.272866684885,0.9154537130016251,6553600,2303.2578125,,
250,3.087647557258606,0.0003,36238.01493170174,0.9042437909956789,8192000,2303.2578125,3.0548537254333494,21.21808163421109
300,2.861910730600357,0.0003,35586.45143768207,0.9207998740021139,9830400,2303.2578125,,
400,2.6502619981765747,0.0003,36200.7465025481,0.9051747039993643,13107200,2303.2578125,,
500,2.521232843399048,0.0003,36714.08310808541,0.8925185440020869,16384000,2303.2578125,2.476112389564514,11.894931554102035
600,2.337253659963608,0.0003,37033.152418700534,0.8848288049994153,19660800,2303.2578125,,
700,2.2003583908081055,0.0003,35460.43954468368,0.9240720199959469,22937600,2303.2578125,,
750,2.1789137423038483,0.0003,35587.35464876174,0.920776503997331,24576000,2303.2578125,2.2094233560562135,9.110461385668687
800,2.1641824543476105,0.0003,36141.044994277436,0.9066699649993097,26214400,2303.2578125,,
900,2.094662070274353,0.0003,36244.66090705817,0.9040779850038234,29491200,2303.2578125,,
1000,2.0242555886507034,0.0003,36427.729958343385,0.8995345040020766,32768000,2303.2578125,2.0579744243621825,7.8300932899904
1100,2.0431003272533417,0.0003,36836.26453993103,0.8895581679971656,36044800,2303.2578125,,
1200,1.9361296743154526,0.0003,35412.88179659473,0.9253130029974272,39321600,2303.2578125,,
1250,1.9288313835859299,0.0003,36166.44467593181,0.9060332109947922,40960000,2303.2578125,1.9584160232543946,7.0880907975186
1300,1.96196711063385,0.0003,36373.31061796208,0.9008803280012216,42598400,2303.2578125,,
1400,1.893727257847786,0.0003,36350.541624956895,0.901444614995853,45875200,2303.2578125,,
1500,1.7962498515844345,0.0003,36524.26872905386,0.8971569080022164,49152000,2303.2578125,1.8959121966362,6.658619605553276
1526,1.8402699679136276,0.0003,35856.28387361999,0.9138704979995964,50003968,2303.2578125,1.8850439977645874,6.586644233262334
